url,harga,alamat,LT,LB,KT,KM,Sertifikat,Dilihat
https://www.lamudi.co.id/properti/41032-73-66398560f333-9d62-19ad878-a8d5-72cf,"Rp 7,50M",Surabaya,Luas Tanah: 533 m²,-,2 kamar tidur,1 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-79e2627f4ec4-8c4-19b17dc-b35b-7d2f,"Rp 1,99M",Surabaya,Luas Tanah: 250 m²,-,4 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-4cdb799c7c6a-ddb9-19a32d1-b484-722c,Rp 1M,Surabaya,Luas Tanah: 200 m²,- ⁠luas bangunan 10x7,3 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-21fa63587540-b89e-19c0036-80c9-71f1,Rp 800Jt,Surabaya,Luas Tanah : 100,Luas Bangunan : 95,3 kamar tidur,1 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-4b621554ec31-ba6a-19acf31-a120-743b,Rp 15M,Surabaya,Luas Tanah: 336 m²,• ⁠Luas Bangunan 396m2,4 kamar tidur,4 kamar mandi,• Sertifikat SHM,-
https://www.lamudi.co.id/properti/41032-73-1dc7e7f3b913-11ab-199dbba-a145-70b6,"Rp 4,30M",Surabaya,Luas Tanah: 125 m²,-,10 kamar tidur,10 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-4dd74042ae38-2395-19b7c2b-8831-7358,"Rp 1,80M",Surabaya,Luas Tanah: 158 m²,-,10 kamar tidur,4 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-42a6c12b2f11-b314-19b84e4-9aba-782d,Rp 975Jt,Surabaya,Luas Tanah: 90 m²,-,2 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-fa8d117ef1b3-2833-19b8e9d-86b9-740a,"Rp 2,40M",Surabaya,Luas Tanah: 150 m²,-,5 kamar tidur,3 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-93757ff13f81-992-19c0023-80ad-715a,Rp 925Jt,Surabaya,-,-,3 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-727bd765fb2-8f50-19a76a5-a08b-7d1c,"Rp 1,85M",Surabaya,Luas Tanah: 78 m²,-,4 kamar tidur,4 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-61d68c5fd8cc-3fb3-19a52e0-b052-7b66,Rp 600Jt,Surabaya,Luas Tanah: 145 m²,◇ Luas Bangunan 145 m²,3 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-78a7d5ec39c2-f8e2-19ad354-99ad-7065,"Rp 4,80M",Surabaya,Luas Tanah: 150 m²,-,10 kamar tidur,10 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-68c3ca025ccd-235d-19b962e-baaf-7fa9,"Rp 2,90M",Surabaya,Luas Tanah: 256 m²,-,5 kamar tidur,5 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-7ed848c8c530-8839-19a8b3e-b2ee-7406,"Rp 1,30M",Surabaya,Luas Tanah: 94 m²,Luas Bangunan (LB): 150 m²,3 kamar tidur,3 kamar mandi,Sertifikat: SHM (Sertifikat Hak Milik) - Legalitas terjamin.,-
https://www.lamudi.co.id/properti/41032-73-cdef93270fd1-c9cc-19b894c-ba7a-75c0,"Rp 2,56M",Surabaya,Luas Tanah: 360 m²,-,4 kamar tidur,3 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-3ae1b509c72c-d34-19ab952-b25c-70e4,Rp 1M,Surabaya,Luas Tanah: 90 m²,-,2 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-908574df9375-5e8b-19acb4d-b705-75e6,Rp 415Jt,Surabaya,Luas Tanah: 72 m²,-,2 kamar tidur,1 kamar mandi,-,-
