No,Judul,Alamat,Tingkat,Dimensi,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Surat,Harga,keterangan,link
11,Sutorejo rumah bagus harga damai,"Perum Sutorejo Indah, RW 08, Dukuh Sutorejo, Mulyorejo, Surabaya, Jawa Timur",1.5,9 x 17.5,157.5,200,4,3,"SHM, IMB","Rp2,100,000,000","Fasilitas Ruang tamu 5,4x2,8 Ada gudang pompa air SHM/IMB lengkap Listrik 13200 watt Hadap Timur/bebas banjir Harga jual Nego",https://rumah.trovit.co.id/detail/019a720c-240a-724a-80a8-56a429198959?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=17&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
12,Dharmahusada rumah 2 lantai dekat Dengan Galaxy Mall,"Dharmahusada Mas, RW 12, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",2,8 x 15,120,220,4,4,"SHM, IMB","Rp2,350,000,000",Selling Point : Bangunan baru renovasi 5 menit menuju Akses tembus kampus C Unair & Galaxy mall,https://rumah.trovit.co.id/detail/019a5867-e509-729f-80b7-e1faf9d8a1eb?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=18&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
13,Rumah pandugo dekat MERR dijual cepat,"RW 11, Medokan Ayu, Rungkut, Surabaya, Jawa Timur",1,7 x 15,105,,2,1,"SHM, IMB","Rp1,180,000,000","Ruang tamu loss Model rumah Minimalis dan menghadap Jalan, jadi mempunyai space untuk parkir lebih dari 1 mobil Carport bisa muat 1 mobil+halaman  Special Price 1.050M IMB lengkap",https://rumah.trovit.co.id/detail/019999d2-2db9-79ca-b644-f1837ede185e?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=19&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
14,Dijual Rumah Baru 2 lantai Bukit Palma Citraland Surabaya,"Citraland, RW 03, Made, Sambikerep, Surabaya, Jawa Timur",2,8 x 15,120,170,4,4,-,"Rp2,150,000,000","HGB Citraland Hadap Selatan Carport 2 mobil Row jalan 2 mobil longgar Harga ~2,25 M~ Nego Tipis* 2,15 M*",https://rumah.trovit.co.id/detail/019bf967-3110-7b5c-9e4a-41d29898910b?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=20&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
15,DIJUAL PAKUWON CITY SAN DIEGO 2 LANTAI SURABAYA,"RW 02, Kejawen Putih Tambak, Mulyorejo, Surabaya, Jawa Timur",2,8 x 16,128,200,4,4,"SHM, IMB","Rp2,890,000,000",- Security 24 jam - Kawasan elite surabaya timur - Row jalan lebar - Dekat dengan kampus ITS - Area pengembangan surabaya Harga 2.9 M nego,https://rumah.trovit.co.id/detail/019b4bc6-0a5a-77cd-89a1-c2274c6f3709?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=21&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
16,Super Eksklusif 3LT Citraland Baru Gress Sby,"Citraland, RW 03, Made, Sambikerep, Surabaya, Jawa Timur",3,12 x 20,240,567,9,7,,"Rp9,000,000,000","?- Fasilitas Bintang Lima: ?Material High-Grade: Granit, Marmer, Aluminium YKK, Kayu Merbau. ?Sanitary KOHLER & Water Heater Solahart. ?8 Unit AC (Termasuk 2 Cassette) ?Struktur Atap Baja WF & Pondasi Tiang Pancang 14m. ?Bonus: 8 CCTV IP Camera, Taman Depan & Belakang, Sistem Anti Rayap. ?Lift 3 Level(Opsional) ?Kualitas Terbaik, Desain Cozy Jangan lewatkan! Hubungi segera untuk NEGO terbaik. ",https://rumah.trovit.co.id/detail/019be8ba-7692-7d81-a841-7e7b9e57fcf3?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=22&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
17,Dijual Rumah Baruk Surabaya dekat MERR Superindo Surabaya New Gress,"RW 02, Penjaringan Sari, Rungkut, Surabaya, Jawa Timur",2,6 x 20,120,180,5,4,SHM,"Rp2,600,000,000","Carport 2 Mobil Besar Belakang Ada Taman Tandon Atas + Tandon Bawah (Bonus 2 Pompa Air) Pondasi Strauss 12m Besi Ulir SNI, Semen Gresik Kusen Pintu dan Jendela Aluminium YKK Kabel Listrik Supreme / Eterna Closet Wastafel TOTO Lantai Full Granit KT : 4+1 (2 Kamar di Lt.2, 1 Kamar Utama di Lt.2 dengan Kamar Mandi dalam) KM : 3+1 Bonus kompor tanam Rinnai Harga : 2.6M NEGO",https://rumah.trovit.co.id/detail/01999b32-b3ce-7798-95f8-890c418adaac?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=24&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
18,rumah pondok indah Wiyung Surabaya,"RW 05, Wiyung, Wiyung, Surabaya, Jawa Timur",2,5.5 x 15,82.5,130,4,3,SHM,"Rp1,650,000,000","Lokasi strategis Dekat kopi kenangan 30m dari Raya Wiyung Exit TOL Gunungsari Dekat Citraland Dekat Pakuwon Mall Standar spesifikasi bangunan: Bata ringan, pondasi strouss, lantai granit tile 60x60, railing tangga stainless, sanitair american standar kombinasi Instalasi tandon atas ready Instalasi AC, WaterHeater, TV ready",https://rumah.trovit.co.id/detail/019bda31-2538-7c02-971d-168e83f1e389?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=25&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
19,Rumah Baru Gress Minimalis Woodland Citraland Utama,"Citraland, RW 03, Made, Sambikerep, Surabaya, Jawa Timur",2,9 x 15,135,213,5,6,,"Rp3,950,000,000",Hadap Utara. HGB. Carport 3 mobil. ROW 2 mobil.,https://rumah.trovit.co.id/detail/019b8ca5-6db4-7add-9c3a-e0744441a287?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=27&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
20,rumah baru siap huni di galaxy bumi permai Surabaya,"Galaxy Bumi Permai, RW 12, Semolowaru, Sukolilo, Surabaya, Jawa Timur",3,9 x 15,135,255,5,4,SHM,"Rp3,900,000,000","Harga jual 3,9M NEGO Lokasi strategis Dekat MERR Dekat Galaxy Mall Dekat kampus ITS, kampus C Unair Hangtuah",https://rumah.trovit.co.id/detail/019bf7bb-875a-711f-87ba-a5b5f6dabe7c?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=28&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
