URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,Fasilitas Tambahan,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it,Votes_WorthIt,Votes_NotWorthIt
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-di-jalan-manukan-tengah-vi-blok-6c-no20-tandes-surabaya,Barat,Tandes,97,72,3,1,1.0,"Rp610,000,000",Belum,-,,,,406666625.7,,,,,,,,,,,,Worth-It,5,5
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-lokasi-bagus-di-dian-istana-graha-famili,Barat,Dukuh Pakis,105,189,2,1,2.0,"Rp2,100,000,000",Belum,Utara,,"2,5 mobil",1,1399999941.0,,,2200,,,,,,,,,Worth-It,6,4
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-lokasi-strategis-dekat-rs-di-jl-bandarejo,Barat,Benowo,78,42,2,1,1.0,"Rp425,000,000",Belum,Barat Daya,,4 meter,1,283333302.6,,,1300,,,,,,,,,Not Worth-It,3,7
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-royal-residance-full-furnish-di-disewakan-royal-residance-greenwich,Barat,Wiyung,96,156,3,1,2.0,"Rp2,600,000,000",Belum,Selatan,,,,1733333282.0,,Y,,,,,,,,,,Not Worth-It,5,5
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-murah-luas-dekat-royal-residence-pakuwon-mall-ptc-di-jlgriya-babatan-mukti-wiyung-surabaya,Barat,Wiyung,190,175,4,1,2.0,"Rp2,100,000,000",Belum,Selatan,,7 meter,2,1399999915.0,,,,,,,,,,,,Worth-It,8,2
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-baru-renovasi-minimalis-dkt-wiyung-citraland-di-puri-lidah-kulon-indah,Barat,Lakarsantri,139,94,3,1,1.0,"Rp1,200,000,000",Belum,Utara,,3 mobil,2,799999942.1,,,2200,,,,,,,,,Worth-It,8,2
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-grand-pakuwon-di-grand-pakuwon-1,Barat,Tandes,72,80,2,2,2.0,"Rp900,000,000",Belum,Selatan,,3 mobil,1,599999966.9,,,1300,,,,,,,,,Worth-It,9,1
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-murah-nyaman-dan-asri-di-perumahan-pondok-benowo-indah-sby-1,Barat,Pakal,72,100,3,2,2.0,"Rp710,000,000",Belum,-,,2 mobil,1,473333297.7,,,1300,,,,,,,,,Worth-It,10,0
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-sby-barat-siap-huni-600-jutaan-di-sumberejo,Barat,Benowo,90,45,2,1,2.0,"Rp650,000,000",Belum,Utara,,2 mobil,1,433333298.7,,,1300,,,,,,,,,Not Worth-It,4,6
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-kuwukan-sambikerep-manukan-jelidro-di-jalan-kuwukan,Barat,Sambikerep,80,70,4,2,2.0,"Rp1,200,000,000",Belum,Timur,,,,799999965.7,,,,,,,,,,,,Worth-It,9,1
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-di-royal-residance-buckingham,Barat,Wiyung,175,270,4,1,2.0,"Rp3,200,000,000",Belum,-,,3 mobil,2,2133333240.0,,,,,,,,,,,,Worth-It,6,4
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-minimalis-2-lantai-posisi-hook-di-babatan-pratama-surabaya-barat,Barat,Wiyung,240,300,5,4,2.0,"Rp3,400,000,000",Belum,Timur,Hook,7 meter,3,2266666549.0,,,13000,,,,,,,,,Worth-It,6,4
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-gunungsari-di-jl-bogangin-baru-blok-a-no-6-19570,Barat,Karangpilang,120,240,9,8,2.0,"Rp900,000,000",Belum,Utara,,"1,5 mobil",1,599999931.7,,,2200,,,,,,,,,Worth-It,10,0
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-greenlake-prambanan-di-green-lake,Barat,Wiyung,105,200,3,1,2.0,"Rp1,700,000,000",Belum,Selatan,,1 mobil,2,1133333273.0,,,3500,,,,,,,,,Worth-It,8,2
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-dekat-menganti-di-babatan-pilang-sekatan,Barat,Wiyung,135,117,4,3,1.0,"Rp1,500,000,000",Belum,Utara,,6 meter,1,999999940.9,,,4400,,,,,,,,,Worth-It,10,0
